epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,73821.2,0.90614,0.46782,1.02256,0.95204,0.884,0.94074,0.67889,1.0639,0.45305,1.11496,0.004819,0.004819,0.004819
159,74303.9,0.90204,0.46573,1.02028,0.95404,0.8836,0.94127,0.679,1.06369,0.45307,1.11493,0.004786,0.004786,0.004786
160,74785.5,0.90133,0.4671,1.01948,0.953,0.88444,0.94139,0.67916,1.06372,0.45279,1.11505,0.004753,0.004753,0.004753
161,75203.5,0.90124,0.46465,1.01841,0.95582,0.88216,0.94181,0.67939,1.06399,0.45299,1.11545,0.00472,0.00472,0.00472
162,75680.7,0.89882,0.46082,1.01791,0.95486,0.88282,0.94228,0.67982,1.06411,0.45299,1.11566,0.004687,0.004687,0.004687
163,76164.7,0.89621,0.4647,1.018,0.95489,0.88269,0.9423,0.67952,1.06379,0.45225,1.11566,0.004654,0.004654,0.004654
164,76645.7,0.8959,0.46216,1.01726,0.95526,0.88362,0.94259,0.67987,1.06405,0.45253,1.11625,0.004621,0.004621,0.004621
165,77121.8,0.89285,0.45844,1.01671,0.95404,0.88321,0.94242,0.67994,1.06399,0.45235,1.11637,0.004588,0.004588,0.004588
166,77558.2,0.89416,0.46324,1.01415,0.95351,0.88413,0.94242,0.6803,1.06379,0.45186,1.1166,0.004555,0.004555,0.004555
167,78031.1,0.88664,0.45938,1.01264,0.95222,0.88663,0.94247,0.68029,1.06362,0.45148,1.1167,0.004522,0.004522,0.004522
168,78508,0.88693,0.45506,1.01351,0.9528,0.88571,0.94222,0.68078,1.0634,0.45135,1.11684,0.004489,0.004489,0.004489
169,78984.5,0.88619,0.45948,1.01257,0.95346,0.88531,0.94236,0.68066,1.06375,0.45069,1.11705,0.004456,0.004456,0.004456
170,79460.2,0.88296,0.45688,1.00925,0.95303,0.88492,0.94262,0.6809,1.06353,0.45023,1.1174,0.004423,0.004423,0.004423
171,79939,0.88022,0.45266,1.01058,0.95524,0.88413,0.94272,0.68144,1.06326,0.45005,1.11728,0.00439,0.00439,0.00439
172,80346.1,0.87437,0.45265,1.0058,0.95514,0.88334,0.94218,0.6812,1.06275,0.44939,1.11722,0.004357,0.004357,0.004357
